quad1,quad2,dist
G2,PSG7,2972.566577
K4,MG1,2979.825812
J9,R4,2986.832255
G2,PSG8,2989.320341
PSG4,T8,2992.754835
G6,I1,2996.881118
L2,PSG13,3000.408544
G1,I7,3002.998926
PSG3,T8,3004.721892
L2,PSG10,3007.301248
T2,T6,3014.729336
L2,PSG11,3016.524607
L2,PSG9,3020.1419
PSG6,T8,3020.835356
N1,U1,3021.148414
I1,PSG14,3021.233306
A4,AR6,3021.54769
PSG5,T8,3025.860023
G1,I6,3026.090687
I6,J8,3027.719242
A4,AR5,3029.351041
K3,L2,3029.662845
G2,PSG9,3033.155407
K3,T8,3036.835589
I1,T8,3040.703341
K2,T9,3041.598451
G2,PSG10,3044.429746
I2,L4,3044.756429
J8,R3,3046.90942
J9,K1,3053.257198
L2,PSG12,3060.58977
A4,AR4,3065.341824
G2,PSG11,3067.590128
L3,R3,3068.159513
L3A,R3,3068.159513
I1,PSG1,3069.782089
PSG7,T8,3075.420633
PSG14,T8,3078.320977
A1,B3,3080.319729
K2,L3,3081.489662
K2,L3A,3081.489662
B5,H1,3081.829649
J8,U5,3083.458876
I1,PSG2,3085.349491
G2,PSG12,3090.098274
PSG8,T8,3090.941188
N3A,U5,3097.158455
J22,R4,3106.037206
PSG14,Y3,3107.847331
I3,J12,3109.003546
N4,U1,3113.69956
H1,U3,3115.262439
N3,U5,3116.35554
K1,R1,3117.64198
PSG9,T8,3119.520028
R2,Y7,3122.218012
I4,U1,3124.97122
I3,L4,3125.502017
I7,J8,3134.843655
PSG10,T8,3135.713247
I1,L4,3137.435344
G2,I7,3139.634464
I3,J1,3141.967319
I1,PSG3,3148.510239
I1,PSG4,3155.187196
B3,H3,3156.633931
PSG11,T8,3157.834625
B4,H2,3159.293479
I4,N6,3167.541009
PSG12,T8,3168.450389
I3,K1,3176.74451
PSG14,Y7,3177.472369
G1,T10,3179.343214
G1,G5,3182.101981
K2,Y3,3185.917791
L2,T7,3187.035122
I1,PSG5,3188.646873
G2,I6,3190.518692
I1,PSG6,3201.09258
K1,Y3,3201.636922
G1,J22,3202.135255
K1,Y7,3210.738011
G4,K1,3217.389703
I3,N3A,3218.374803
G5,T11,3219.925325
G3,PSG13,3223.605002
A1,A5,3225.706662
G3,PSG1,3226.318165
V1,Y3,3227.594994
K2,Y7,3230.953706
I2,K2,3232.549885
I1,PSG13,3239.749964
G3,L1,3242.073809
G3,PSG2,3242.518832
A2,B2,3243.589036
I3,N3,3245.272804
L3,PSG14,3250.523838
L3A,PSG14,3250.523838
L1,T8,3251.914588
V1,Y7,3256.096692
I5,R2,3256.818647
I5,L1,3258.508282
R2,Y3,3264.338364
MG4,T10,3264.973857
AR4,B4,3271.237048
I1,PSG7,3271.301021
G3,PSG4,3275.266359
G6,PSG13,3275.435977
G6,PSG1,3282.125844
I1,PSG8,3285.227762
G3,PSG3,3285.804428
PSG2,Y3,3285.883799
J8,N1,3286.083146
PSG1,Y3,3286.932309
PSG13,T10,3293.338231
G1,J9,3295.874844
MG1,PSG13,3297.844886
G6,PSG2,3298.18391
I1,Y7,3298.588704
K4,T7,3301.008967
J1,U5,3306.117644
J8,R2,3306.401034
G3,PSG6,3306.581055
PSG3,Y3,3307.306691
J12,N5,3307.785964
J1,N5,3308.153532
I3,R4,3308.716181
G3,PSG5,3309.98148
K3,MG1,3310.609793
A2,B2A,3315.181769
I1,K3,3316.798198
PSG13,T9,3317.12823
J12,U5,3318.95331
G6,L1,3323.49053
PSG5,Y3,3325.51878
PSG4,Y3,3326.281893
G6,PSG4,3329.782074
G3,K3,3333.722401
MG1,PSG12,3339.868766
G6,PSG3,3340.610536
G3,PSG14,3341.083424
I6,U1,3343.034193
PSG6,Y3,3343.313768
I1,PSG10,3345.150755
I1,PSG9,3348.156386
G2,L2,3351.03995
G1,R1,3353.632015
PSG2,Y7,3354.910927
MG1,PSG9,3355.058965
PSG1,Y7,3355.288194
PSG1,T9,3356.233321
PSG8,Y3,3357.713939
PSG7,Y3,3359.194026
G6,PSG6,3360.467472
I1,Y3,3361.445291
K2,T10,3362.581695
I1,PSG11,3363.294663
G6,PSG5,3364.198453
J8,N4,3364.336823
G3,PSG7,3365.275938
PSG2,T9,3370.889405
I5,N6,3370.967333
PSG11,Y3,3371.844833
MG1,PSG10,3374.488017
K3,T10,3374.64817
PSG10,Y3,3375.220716
MG1,PSG11,3376.156011
N5,R4,3376.33244
PSG3,Y7,3378.544202
G3,PSG8,3381.307231
G6,K3,3385.280735
PSG4,T9,3392.543828
I4,L4,3393.208407
PSG9,Y3,3395.408033
I7,T7,3395.592596
N6,R2,3396.636347
PSG4,Y7,3397.421071
MG1,PSG8,3397.691466
PSG5,Y7,3398.052818
MG1,PSG7,3398.235478
G6,PSG14,3399.350561
L3,PSG1,3404.18917
L3A,PSG1,3404.18917
I1,PSG12,3404.749741
PSG3,T9,3405.629975
PSG12,Y3,3406.548118
I5,U2,3406.608337
I6,L1,3407.213938
K4,L1,3407.920496
L3,PSG2,3409.981391
L3A,PSG2,3409.981391
AR5,B4,3411.294292
G1,K4,3413.141201
G3,PSG9,3414.636176
PSG6,Y7,3416.003438
PSG6,T9,3417.666686
G6,PSG7,3418.354561
G1,L3,3418.850647
G1,L3A,3418.850647
PSG4,T10,3418.972434
PSG1,T10,3419.885586
AR6,B4,3421.794454
I7,U1,3422.291263
K3,T9,3423.346189
PSG5,T9,3424.060827
MG1,PSG6,3424.321646
PSG6,T10,3424.84251
L1,L5,3426.907834
PSG2,T10,3428.597185
AR5,PBR2,3429.45059
G3,PSG10,3429.535462
AR6,PBR2,3430.833238
PSG8,Y7,3433.545276
G6,PSG8,3434.28927
PSG7,Y7,3434.429605
I5,R3,3436.676703
PSG3,T10,3436.802129
MG5,T10,3437.047675
PSG5,T10,3438.047046
I6,T7,3438.281337
MG1,PSG5,3442.636974
I2,Y7,3444.089123
I7,L1,3445.642966
K3,Y3,3447.264774
PSG7,T10,3447.831298
MG1,PSG4,3448.714205
I6,J9,3449.108507
PSG11,Y7,3450.535625
G3,PSG11,3452.156695
L3,PSG3,3452.364462
L3A,PSG3,3452.364462
PSG10,Y7,3453.11266
I6,J22,3454.154719
PSG9,T10,3454.778359
PSG8,T10,3458.050965
G2,I3,3458.303025
I1,T9,3460.288812
I6,R1,3460.496014
I5,L2,3462.332409
G3,PSG12,3466.322607
G6,PSG9,3466.629196
MG1,PSG3,3466.909666
PSG7,T9,3468.240857
L3,PSG4,3469.10196
L3A,PSG4,3469.10196
PSG9,Y7,3473.001865
A3,B1,3473.38074
PSG10,T10,3476.071766
PSG13,Y3,3477.367178
PSG12,T10,3479.995113
K1,T10,3480.919121
G6,PSG10,3481.815681
L3,PSG5,3482.585748
L3A,PSG5,3482.585748
PSG8,T9,3483.194962
PSG12,Y7,3486.1715
I2,J8,3491.254347
PSG11,T10,3491.947522
PSG14,T9,3492.880258
H1,U2,3494.505871
I2,R3,3496.409825
L1,R2,3498.997036
MG1,PSG2,3500.10812
L3,PSG6,3500.825463
L3A,PSG6,3500.825463
G4,K2,3503.013639
MG1,PSG1,3503.121437
J22,K2,3503.829412
G6,PSG11,3504.343301
PSG9,T9,3507.160234
H1,U1,3508.615293
L4,V1,3509.636586
I5,R4,3509.683173
B3,PBR2,3517.613067
G6,PSG12,3517.745943
K3,Y7,3522.517704
I3,T7,3522.719112
PSG10,T9,3524.471728
I1,R2,3526.239384
G3,I2,3527.728477
I2,Y3,3533.70006
MG7,T10,3535.116552
I7,J9,3539.620377
G3,I7,3540.643393
L3,PSG7,3541.782441
L3A,PSG7,3541.782441
L5,R4,3541.872198
I7,J22,3541.92415
G1,I5,3543.352654
PSG11,T9,3545.97639
