year,month,soi
1954,1,0.57
1954,2,-0.52
1954,3,-0.31
1954,4,0.41
1954,5,0.15
1954,6,-0.49
1954,7,0.36
1954,8,0.9
1954,9,0.17
1954,10,0.09
1954,11,0.16
1954,12,1.31
1955,1,-0.68
1955,2,1.3
1955,3,0.13
1955,4,-0.81
1955,5,0.88
1955,6,1.63
1955,7,1.8
1955,8,1.38
1955,9,1.4
1955,10,1.51
1955,11,1.38
1955,12,0.91
1956,1,1.16
1956,2,1.1
1956,3,0.89
1956,4,1.06
1956,5,1.44
1956,6,1.26
1956,7,1.19
1956,8,1.05
1956,9,0.06
1956,10,1.92
1956,11,0.11
1956,12,0.99
1957,1,0.43
1957,2,-0.36
1957,3,-0.37
1957,4,0.05
1957,5,-1.18
1957,6,-0.37
1957,7,0.18
1957,8,-1.08
1957,9,-1.01
1957,10,-0.09
1957,11,-1.23
1957,12,-0.44
1958,1,-1.89
1958,2,-0.78
1958,3,-0.32
1958,4,0.03
1958,5,-1.39
1958,6,-0.27
1958,7,0.23
1958,8,0.72
1958,9,-0.34
1958,10,-0.56
1958,11,-0.61
1958,12,-0.84
1959,1,-0.94
1959,2,-1.5
1959,3,0.77
1959,4,0.35
1959,5,0.14
1959,6,-0.96
1959,7,-0.47
1959,8,-0.68
1959,9,-0.01
1959,10,0.34
1959,11,0.9
1959,12,0.81
1960,1,-0.05
1960,2,-0.25
1960,3,0.47
1960,4,0.79
1960,5,0.3
1960,6,-0.47
1960,7,0.5
1960,8,0.53
1960,9,0.65
1960,10,-0.2
1960,11,0.6
1960,12,0.63
1961,1,-0.43
1961,2,0.58
1961,3,-2.47
1961,4,1.15
1961,5,0.18
1961,6,-0.53
1961,7,0.18
1961,8,-0.16
1961,9,0.11
1961,10,-0.73
1961,11,0.68
1961,12,1.31
1962,1,1.72
1962,2,-0.41
1962,3,-0.32
1962,4,0.3
1962,5,1.1
1962,6,0.37
1962,7,-0.04
1962,8,0.26
1962,9,0.53
1962,10,0.95
1962,11,0.27
1962,12,-0.1
1963,1,0.8
1963,2,0.26
1963,3,0.66
1963,4,0.51
1963,5,0.14
1963,6,-1.3
1963,7,-0.13
1963,8,-0.43
1963,9,-0.6
1963,10,-1.46
1963,11,-0.93
1963,12,-1.35
1964,1,-0.53
1964,2,-0.13
1964,3,0.71
1964,4,1.78
1964,5,-0.02
1964,6,0.72
1964,7,0.62
1964,8,1.32
1964,9,1.29
1964,10,1.26
1964,11,-0.06
1964,12,-0.49
1965,1,-0.52
1965,2,0.01
1965,3,0.24
1965,4,-1.34
1965,5,-0.03
1965,6,-1.63
1965,7,-2.32
1965,8,-1.37
1965,9,-1.41
1965,10,-1.22
1965,11,-1.86
1965,12,0.02
1966,1,-1.36
1966,2,-0.54
1966,3,-1.75
1966,4,-0.9
1966,5,-0.71
1966,6,0.14
1966,7,-0.15
1966,8,0.19
1966,9,-0.24
1966,10,-0.33
1966,11,-0.2
1966,12,-0.61
1967,1,1.52
1967,2,1.2
1967,3,0.65
1967,4,-0.12
1967,5,-0.41
1967,6,0.67
1967,7,0.18
1967,8,0.44
1967,9,0.44
1967,10,-0.17
1967,11,-0.57
1967,12,-0.78
1968,1,0.47
1968,2,0.77
1968,3,-0.56
1968,4,-0.31
1968,5,1.21
1968,6,1.27
1968,7,0.77
1968,8,-0.2
1968,9,-0.36
1968,10,-0.35
1968,11,-0.44
1968,12,0.13
1969,1,-1.36
1969,2,-0.85
1969,3,-0.03
1969,4,-0.9
1969,5,-0.78
1969,6,-0.24
1969,7,-0.73
1969,8,-0.71
1969,9,-1.1
1969,10,-1.35
1969,11,-0.18
1969,12,0.24
1970,1,-1.26
1970,2,-1.22
1970,3,0.06
1970,4,-0.56
1970,5,0.04
1970,6,1.02
1970,7,-0.52
1970,8,0.31
1970,9,1.18
1970,10,0.74
1970,11,1.85
1970,12,1.83
1971,1,0.23
1971,2,1.44
1971,3,1.98
1971,4,2.58
1971,5,0.88
1971,6,0.21
1971,7,0.17
1971,8,1.42
1971,9,1.51
1971,10,1.75
1971,11,0.55
1971,12,0.15
1972,1,0.33
1972,2,0.67
1972,3,0.13
1972,4,-0.46
1972,5,-1.52
1972,6,-1.68
1972,7,-1.84
1972,8,-1.12
1972,9,-1.48
1972,10,-1.13
1972,11,-0.38
1972,12,-1.47
1973,1,-0.43
1973,2,-1.47
1973,3,-0.06
1973,4,-0.37
1973,5,0.25
1973,6,1.22
1973,7,0.63
1973,8,1.18
1973,9,1.27
1973,10,0.85
1973,11,2.85
1973,12,1.76
1974,1,2.16
1974,2,1.49
1974,3,2.1
1974,4,1.27
1974,5,1.24
1974,6,0.14
1974,7,1.23
1974,8,0.56
1974,9,1.16
1974,10,0.72
1974,11,-0.42
1974,12,-0.14
1975,1,-0.62
1975,2,0.46
1975,3,1.14
1975,4,1.48
1975,5,0.51
1975,6,1.69
1975,7,2.13
1975,8,2.03
1975,9,2.15
1975,10,1.67
1975,11,1.25
1975,12,2.05
1976,1,1.19
1976,2,1.18
1976,3,1.33
1976,4,0.24
1976,5,0.5
1976,6,-0.16
1976,7,-1.24
1976,8,-1.46
1976,9,-1.29
1976,10,0.13
1976,11,0.76
1976,12,-0.48
1977,1,-0.39
1977,2,0.65
1977,3,-1.2
1977,4,-1.17
1977,5,-1.18
1977,6,-2.33
1977,7,-1.45
1977,8,-1.42
1977,9,-0.95
1977,10,-1.39
1977,11,-1.56
1977,12,-1.23
1978,1,-0.48
1978,2,-2.63
1978,3,-0.82
1978,4,-0.88
1978,5,1.5
1978,6,0.4
1978,7,0.53
1978,8,0.12
1978,9,0.06
1978,10,-0.76
1978,11,-0.28
1978,12,-0.21
1979,1,-0.45
1979,2,0.61
1979,3,-0.49
1979,4,-0.65
1979,5,0.46
1979,6,0.58
1979,7,-0.76
1979,8,-0.69
1979,9,0.11
1979,10,-0.37
1979,11,-0.61
1979,12,-0.9
1980,1,0.28
1980,2,-0.02
1980,3,-1.06
1980,4,-1.6
1980,5,-0.35
1980,6,-0.68
1980,7,-0.14
1980,8,-0.06
1980,9,-0.54
1980,10,-0.34
1980,11,-0.47
1980,12,-0.21
1981,1,0.27
1981,2,-0.47
1981,3,-2.01
1981,4,-0.6
1981,5,0.82
1981,6,1.28
1981,7,0.87
1981,8,0.4
1981,9,0.52
1981,10,-0.71
1981,11,0.07
1981,12,0.41
1982,1,0.87
1982,2,-0.03
1982,3,0.05
1982,4,-0.46
1982,5,-0.74
1982,6,-2.49
1982,7,-1.89
1982,8,-2.66
1982,9,-2.12
1982,10,-2.2
1982,11,-3.25
1982,12,-2.48
1983,1,-3.36
